Part Name,Description,Quantity,Unit Price (USD),Total Price (USD),Distributor,Purchase URL
Adafruit Industries 1739,Audio Buzzer Piezo 1Vp-p 30Vp-p 3.5mA 12Vp-p 85dB 1300Hz to 4000Hz Screw Mount,1,0.95,0.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=QZVRTRWJThlq0iA-STP-5i3SyLAVP1pi2g8KjMnLEMA62NAwxvAgoItR2LdcAcvmIjBO_bl_3jn5SfP0rYkIH0vQ4zNBs0iEbE_xBd2DuFj0J8Nt-ozXjO9CgOxXDG1YKl9d6T-AQ5w6f5mH4c2I50BIonV3S7GEcwRpVdtuaKD5ycnREAyYbiWzEH4mtxpIlRbVXkA9aVyrrTtabQqu8NiTU2Ew1xZkaNcOGe_TnnFH4B8V0OAPy6Ux6ntGag0IzSXdA9U
Traffic Lights,,1,,,,
Bourns 3310Y-001-103L,Potentiometer Conductive Plastic 10 kOhms Power 0.25W 3310 Series,1,3.61,3.61,Digi-Key,https://octopart.com/opatz8j6/a1?t=yICi1walMklvzDmez2vI6b3JMg08ju7vcd9fLr0P-wpmdAs61GP99LmRztFSQnm9d5DjWXbocJptymTM_De9LS_mqeofh-pNS3idVXuDXdNX883dqthGVeX00fyArAWkZZeaPpha48J9JwPFCleGz7eJ7Q8v8zOWh7cnOWalJO-qDaBAi5RTyr5oZhoQNySSyHtJbZaEMnSm12pnA7zThQxWWYGjbeUrgVUJpqXZmTAbjG4SlTL5LEe2LD4EHcdBDA
SparkFun ROB-11965,Servomotor Rc 6V Generic Hi Torq,1,13.95,13.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=BJz4GjaLqx4ln3iWrfEaqKvrN-0RWhiMjiW2Qq5CvqPUqOcudPdJKLv7sZGaFWxJHzauy9xUCczTwe1y2GbqG89jRlJk2YKWeYt_N49ICRONPHQbxtCYbkD6MWZvQAYBdGx2jk6xGfxRH4mjkxWgDGnsKFs5WS1i8UYf0M4uBPfYhA_x5nmaVke-a9jid23FgRNQrx9QHi9zma9HjhK1N4WPkaKKyTxqBmW80io0QcRDA9Fzn7eXC65gpm5DLUPVsn0kww
Adafruit Industries 711,DC Toy / Hobby Motor - 130 Size,1,1.95,1.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=xpsCAR1f-V9WJrJm08jqi-ZDoRqicoZOYI8ZeAFATQwi4ZUJtoP6BQkzj2-KN70YVVbd0XAGI8m59kA8CT8nIQM4OUkHKQKIg7kZb-z88Yp01g5SDcdsitGdqISkhw-J0b3gx4mPucVqUce8GzCn5H30lSETSpSAwqrHW_SdaxxEJrzjPbBiNRAtv1wfuRQC0VNJUqgydnmOGDpsWKCU2FtBtTwpiIKXmoWbpZMBBFR9spYPXQk1HivYhuS24SVvfFyc9w
SparkFun SEN-15569,HC-SR04 Distance Sensor Development Tool,1,4.50,4.50,Digi-Key,https://octopart.com/opatz8j6/a1?t=1Lf18kx4ZfVMomEfp4T-nJQPdoCfifbE8cg5_zEIB9Qz2EEWbZC93t4B7-A2KeBXWj24z9AqA5ivVat1pYNTxqVfTAAf00RQ23u9AV_6eOqQqTu6JByS2_0lIKOegNdNwL27ZfxRB8ORm15R0886zPwgeOjWLsuhQ7zHt0siYaf7kAf0UQmjN869qc-oaKFHj_nbbqqGMF8wEspgKuVFQjW-lMWqd4iIie5fRCCsr53TBylB0Qd7N9P322LwE93aRZ_Govb8
Line Tracker,,1,,,,
Button Module,,1,,,,
IR Receiver Module,,1,,,,
Adafruit Industries 830,4 x AA Battery Holder with On/Off Switch,1,2.95,2.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=IeTjMJzP5K0vYzz_vD4UtPs2FKDKJzoJAdDEVFV7hyoQryDt6aladE3hdQJLzRePAM3eF2t_zG1w5QBwB22udE5gQY8ckB6WjKyARwUYw8iXYK3IusIA6lHtOaclKfz9q9tmxnwVZljhVMDCkchsqZyb7RGCoDv2KGcte3B4E3rFIymehwO5YPlM7kortBSau-QYlhmx4bTPyPKmtulJKWaZEaLhs7ZLiB9bC38twdhZlp2kdhoDqDAwEZGuwcgTPmsRir0
Adafruit Industries 3405,Adafruit HUZZAH32 â€“ ESP32 Feather Board,1,19.95,19.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=Yg9ZzldfgWf1DW9iOe5cMiTBnjrLKFE4yDhNKtgjIVgtI8AR5JvpfLEl_72iHH8DTBLKUOgnqPRgJ6pejO4Hkn7Qf6FeAumNcG1uK-cSbT0SXSNWvruBSoUqurNzFLf9oyDEMyqTsHhYXjpESi5SyWC5Nkr7LUDkbVG8qASEjnI31sqFfFMnbhun2SVLUlAclaN_0tyYDYUa1mNMwB3UUVvE_rL7warwn7c-aAccUgZG2d5CY_25vZc7DPqByu32nct5DmI
Adafruit Industries 2922,Adalogger FeatherWing - RTC + SD Add-on For All Feather Boards,1,8.95,8.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=OTolEHkwdZwKN2kgzf9gLOoed4UpC7EbZIhy5nGfF3kaIAVOP0wFhNrrFYkLxI0WxjuoxbjsLB3BAeD_Ig3ADbthgY3DxhVSudBc6ORbEcnXgTJqUoTfquZ7mdz0RUgtlva4RDYsopV9sVDwdGdJPjeFVg-m4WyJquA3xtch6zGfvYMHUFDhBIlfow_ZxOBHffKmnKpstmw5JvHY7iv8pJxSCT5WwIBdrVQ0VOz1xSLCRtAN2_QKCiqDQaM8ZXxcWN4iVl0
Adafruit Industries 2927,DC Motor + Stepper FeatherWing Add-on For All Feather Boards,1,19.95,19.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=1tWzEPlNDvGjmszrHnbgyIaYP8XBxn24CgXZNP4xph8ClYfhRpmJikE2AiFnXsGORfNf9oDeT5SMApY4JZlqgWzmlQkVhjbQUZ9KC6aSoxQqCHs7eLPdmdJkkvF3IpsOwBC2gUmMz3vbqGsHVsGbs4_fK98NpQDd9muBsoXnoxVVgbkCJHLabOkOuRWmh4-G9pb23ubwr5ApenoDlRfg0iwtCyrPv-SKVUg5ahOZBxwgocJfuDSQc1aCpKKs5Id3Y5TEoFo
Adafruit Industries 4147,Adafruit ADXL343 + ADT7410 Sensor FeatherWing,1,11.95,11.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=ShmSnoN6TFy5lfY8caBDs_EKd6_XyIbRM5E2VjFgYWOwrGiH8xmuCn7ociXDDz07gwfqYZrBGScaexP4vOuVEUsjuEkqoRkzxKS8YVyV2EnvOJELniYOcBNJY1yquDioJQtGhLt7QP8DnuGV8GdAiK2fJ6tQDV8FMIfH8N0Nnkt9ebVd7Xy4IXylQ2XMjLb7inInklK3smFufLiEIxQhdny4y0voclHNHPC62oH-2AYTR9L3LDx2Fc-g0r7lTYvGAJudvAc
Adafruit Industries 3321,Adafruit Mini Color TFT with Joystick FeatherWing,1,,,,
Adafruit Industries 4254,Adafruit Quad Side-By-Side FeatherWing Kit with Headers,1,9.95,9.95,Digi-Key,https://octopart.com/opatz8j6/a1?t=JGXOUp1Gupd9Ibk4DIJbShT-vt4jMxAdcSZyrMObhjedTQ1vk_xLYxaJa2zEOqVH3KGfWgFedK4rU63uz1ZaYnv-ArN_fFGtJKKrbS3ZrAPYwo0_vVq-zl47lE-BIvwRETal_UG9vgtOf451Yzq9oZoMmF1Bd4q9EI3QRSQVmGf_M1jJABXjsD_myerlBJpMiNoghNytsPw8qCZdPNVMpPv4azwn__JOV3oZ1w6P8p_HLZjO8hlJBaXwOASHRuwFBgVIvL4
